2022-05-16 18:25:12,648 INFO 127.0.0.1 - - [16/May/2022 18:25:12] "GET /predict?__debugger__=yes&cmd=resource&f=debugger.js HTTP/1.1" 200 -
2022-05-16 18:25:12,651 INFO 127.0.0.1 - - [16/May/2022 18:25:12] "GET /predict?__debugger__=yes&cmd=resource&f=style.css HTTP/1.1" 200 -
2022-05-16 18:25:13,059 INFO 127.0.0.1 - - [16/May/2022 18:25:13] "GET /predict?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1" 200 -
2022-05-16 18:26:03,352 INFO 127.0.0.1 - - [16/May/2022 18:26:03] "[35m[1mGET /predict HTTP/1.1[0m" 500 -
2022-05-16 18:26:03,420 INFO 127.0.0.1 - - [16/May/2022 18:26:03] "GET /predict?__debugger__=yes&cmd=resource&f=style.css HTTP/1.1" 200 -
2022-05-16 18:26:03,430 INFO 127.0.0.1 - - [16/May/2022 18:26:03] "GET /predict?__debugger__=yes&cmd=resource&f=debugger.js HTTP/1.1" 200 -
2022-05-16 18:26:03,671 INFO 127.0.0.1 - - [16/May/2022 18:26:03] "GET /predict?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1" 200 -
2022-05-16 18:26:03,834 INFO 127.0.0.1 - - [16/May/2022 18:26:03] "GET /predict?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1" 200 -
2022-05-16 18:26:29,851 INFO  * Detected change in 'c:\\Users\\StudentRocks\\Desktop\\jamia\\appred\\appred\\app\\ML_All_Datset_MRMR.py', reloading
2022-05-16 18:26:30,319 INFO  * Restarting with stat
2022-05-16 21:20:20,811 INFO  * Restarting with stat
2022-05-16 21:20:22,941 WARNING  * Debugger is active!
2022-05-16 21:20:22,998 INFO  * Debugger PIN: 331-082-004
2022-05-16 21:20:23,349 INFO  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2022-05-16 21:20:38,127 INFO 127.0.0.1 - - [16/May/2022 21:20:38] "GET / HTTP/1.1" 200 -
2022-05-16 21:20:40,913 INFO 127.0.0.1 - - [16/May/2022 21:20:40] "GET /static/assets/css/styles.css HTTP/1.1" 200 -
2022-05-16 21:20:41,022 INFO 127.0.0.1 - - [16/May/2022 21:20:41] "GET /static/assets/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 -
2022-05-16 21:20:41,023 INFO 127.0.0.1 - - [16/May/2022 21:20:41] "GET /static/assets/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 -
2022-05-16 21:20:41,024 INFO 127.0.0.1 - - [16/May/2022 21:20:41] "GET /static/assets/fonts/ionicons.min.css HTTP/1.1" 200 -
2022-05-16 21:20:41,026 INFO 127.0.0.1 - - [16/May/2022 21:20:41] "GET /static/assets/bootstrap/js/main.js HTTP/1.1" 200 -
